Depth_mean,Depth_min,Depth_max,Qf,valid,slope,phasedetect,Lat,Lon,Sog,Cog,Roll,Pitch,Heave,Head
-122.57,-121.93,-124.07,2.9123205679655073,100.0,0.19,86.5,46.1286729,-3.2696488,6.686825059772635,158.68,0.08,-0.37,0.54,159.17
-123.15,-122.49,-124.55,2.940354610681534,100.0,0.19,87.0,46.12858555,-3.2696053,6.667386614831435,159.22,-1.05,0.14,-0.0,159.28
-123.31,-122.43,-124.38,2.918620139360428,100.0,0.21,89.0,46.1285564,-3.2695892,6.667386614831435,159.26,-1.18,0.05,-0.12,159.46
-123.53,-122.77,-124.67,2.926172066926956,100.0,0.12,87.5,46.12849825,-3.2695557,6.686825059772635,159.22,-0.99,0.3,-0.49,159.66
-123.89,-123.18,-125.66,2.9162182313203813,100.0,0.19,87.5,46.12844155,-3.2695184,6.686825059772635,158.92,-0.71,0.47,-0.59,159.59
-123.52,-123.1,-124.64,2.941625003814697,100.0,0.13,89.0,46.1283856,-3.2694839,6.686825059772635,158.53,0.23,0.16,-0.13,159.29
-123.16,-122.69,-124.34,2.9239406478405,100.0,0.11,87.0,46.1283297,-3.2694537,6.667386614831435,158.51,0.75,-0.34,0.16,159.22
-123.3,-122.57,-124.67,2.9347340273857117,100.0,0.17,87.0,46.12827255,-3.2694224,6.647948169890236,158.67,0.05,-0.53,-0.03,159.61
-123.69,-123.13,-124.82,2.9246408581733703,100.0,0.13,88.0,46.12821325,-3.2693862,6.667386614831435,158.59,-0.67,-0.3,-0.22,159.93
-124.3,-123.8,-125.42,2.914010430574417,100.0,0.05,87.0,46.1281835,-3.2693662,6.686825059772635,158.44,-1.35,0.66,-0.76,160.01
